Time-Stamp,Input-Coordinate,Reachable
18_15_20,[],True
Time-Stamp,Input-Coordinate,Reachable
18_15_25,[],True
Time-Stamp,Input-Coordinate,Reachable
18_15_30,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_15_35,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_15_40,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_15_45,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_15_50,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_15_55,[[200. 200. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_00,[[200. 200. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_05,[[200. 200. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_11,[[200. 200. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_16,[[200. 200. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_21,[[200. 200. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_26,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_31,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_36,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_41,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_46,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_51,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_16_56,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_01,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_06,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_12,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_17,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_22,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_27,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_32,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_37,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_42,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_47,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_52,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_17_57,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_18_03,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_18_08,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_18_13,[[100. 100. 100.]],True
Time-Stamp,Input-Coordinate,Reachable
18_18_18,[[100. 100. 100.]],True
